name,ingredients,diet,course,procedure,state,img_url,,,,,,
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,snack,"Step 1: Boil 1 cup water with ½ tsp salt and 1 tsp oil.

Step 2: Add hot water gradually to 1 cup rice flour, mix with a spoon to form a soft dough.

Step 3: Grease the idiyappam maker, fill it with dough, and press into thin noodles onto greased idli plates or steamer plates.

Step 4: Steam for 10-12 minutes on medium flame until cooked.

Step 5: Serve hot with coconut milk, sugar, or vegetable stew!",Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/umar/Chettinad_Idiappam_Mee_Recipe__1600.jpg,,,,,,
Rava Idli,"Rava, curd, water, mustard seeds, curry leaves, green chilies, ginger, coriander leaves, salt, baking soda, oil, cashew nuts (optional).",vegetarian,snack,"Step 1:
Heat 2 tbsp oil or ghee in a pan.
Add 1 tsp mustard seeds, 1 tsp chana dal, 1 tsp urad dal, and 10 cashew nuts (optional).
Once they splutter, add 2 chopped green chilies, 1 tsp grated ginger, and 8-10 chopped curry leaves.

Step 2:
Add 1 cup rava (semolina) to the pan and roast on low flame for 3-4 mins until aromatic.
Let it cool completely.

Step 3:
In a mixing bowl, add roasted rava, 1/2 cup curd, 1/4 cup grated carrot, 2 tbsp chopped coriander leaves, 1/4 tsp turmeric powder, and salt to taste.
Add water little by little to make a thick batter.
Rest the batter for 15-20 mins.

Step 4:
Just before steaming, add 1/2 tsp Eno fruit salt or baking soda to the batter.
Mix gently (do not overmix).

Step 5:
Grease idli moulds with oil.
Pour the batter into the moulds.
Steam for 12-15 mins on medium flame.

Step 6:
Let the idlis cool for 2 mins.
Remove from the mould and serve hot with coconut chutney or sambar.
",Karnataka,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Classic_Homemade_Soft_Idli_Recipe_Video_3_1600.jpg,,,,,,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,dessert,"Step 1:
In a bowl, mix 1 cup all-purpose flour (maida), 2 tbsp cornflour, ½ tsp baking powder, and a pinch of turmeric powder (for color).

Step 2:
Add ½ cup curd (yogurt) and water gradually to make a thick, smooth batter. Rest the batter for 6-8 hours for fermentation.

Step 3:
Heat oil or ghee in a pan. Fill the batter in a piping bag or squeeze bottle with a small nozzle.

Step 4:
Squeeze the batter in hot oil in circular spiral shapes. Fry on medium flame until golden and crispy.

Step 5:
In another pan, prepare sugar syrup by boiling 1 cup sugar, ½ cup water, and ½ tsp cardamom powder for 8-10 minutes until it reaches 1-string consistency. Add few saffron strands and rose water.

Step 6:
Dip the fried jalebis in warm sugar syrup for 1-2 minutes and take them out.

Step 7:
Serve hot with rabri or enjoy plain!",Uttar Pradesh,https://crazymasalafood.com/wp-content/images/2023/05/jalebi-1.jpg.webp,,,,,,
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,main course,"Step 1: Cut boiled potatoes into cubes.
Step 2: Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter.
Step 3: Add chopped green chili and grated ginger. Sauté for 30 secs.
Step 4: Add 1/2 tsp turmeric powder, 1 tsp red chili powder, and 1 tsp coriander powder. Mix well.
Step 5: Add cubed potatoes and salt. Toss everything and cook for 5-7 mins on medium flame.
Step 6: Add 1/2 tsp garam masala and 1 tsp lemon juice. Mix well.
Step 7: Garnish with fresh coriander leaves.",Gujarat,https://www.vegrecipesofindia.com/wp-content/uploads/2020/12/jeera-aloo-1152x1536.jpg,,,,,,
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,snack,"Step 1:
Mix 2 cups all-purpose flour, 1/2 tsp salt, and 3 tbsp oil in a bowl.
Add water gradually and knead a soft dough. Rest for 30 mins.

Step 2:
Heat 2 tbsp oil in a pan.
Add 1 tsp cumin seeds and 1 tsp fennel seeds.
Add coarsely ground 1 cup moong dal and sauté for 3-4 mins.

Step 3:
Add 1 tsp coriander powder, 1/2 tsp turmeric powder, 1 tsp red chili powder, 1 tsp garam masala, 1 tsp dry mango powder, and salt to taste.
Cook for 5-6 mins until dry. Add 2 tbsp coriander leaves and let it cool.

Step 4:
Divide the dough into small balls.
Roll each ball, stuff with filling, seal edges, and flatten lightly.

Step 5:
Deep fry on low-medium flame until golden brown.

Step 6:
Serve hot with tamarind chutney or green chutney.",Uttar Pradesh,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Matar_Kachori_Recipe-6.jpg,,,,,,
Kadhai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,main course,"Step 1: Blend 2 tomatoes, 1 onion, 2 garlic cloves, 1-inch ginger, and 2 green chilies into a smooth paste.
Step 2: Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and 1 tsp crushed coriander seeds, and sauté for 30 secs.
Step 3: Add the blended paste and cook for 7-8 mins until oil separates.
Step 4: Add 1 tsp red chili powder, 1/2 tsp turmeric powder, and salt. Mix well and cook for 2 mins.
Step 5: Add cubed onions and capsicum, cook for 3-4 mins.
Step 6: Add paneer cubes, 1 tsp garam masala, and 1 tsp kasuri methi. Mix and cook for 2 mins.
Step 7: Garnish with fresh coriander leaves and serve hot.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/12/kadai-paneer-1-500x500.jpg,,,,,,
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,main course,"Step 1: Mix 1 cup gram flour, onion, green chili, 1/2 tsp red chili powder, 1/4 tsp turmeric powder, cumin seeds, salt, and water to make a thick batter.
Step 2: Heat oil in a pan and deep fry small portions of the batter until golden brown. Keep aside.
Step 3: In a bowl, whisk 1 cup curd, 3 tbsp gram flour, turmeric powder, red chili powder, and salt with 3 cups water until smooth.
Step 4: Pour the mixture into a pan and cook on low flame for 15-20 mins, stirring occasionally.
Step 5: Add the fried pakoras and cook for 5 mins.
Step 6: Heat 2 tbsp oil, add cumin seeds, mustard seeds, dry red chilies, hing, and curry leaves. Pour over the kadhi.
Step 7: Garnish with fresh coriander leaves.",Haryana,https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/punjabi-kadhi-pakora-recipe-easy-500x500.jpg,,,,,,
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,dessert,"Step 1:
Grind 1 cup cashews (kaju) into a fine powder using a blender (make sure cashews are dry).

Step 2:
In a pan, add ½ cup sugar and ¼ cup water. Cook on medium flame until it forms 1-string consistency sugar syrup.

Step 3:
Add the powdered cashews to the sugar syrup and stir continuously on low flame until the mixture thickens and starts leaving the sides of the pan.

Step 4:
Add 1 tsp ghee and ½ tsp cardamom powder. Mix well and turn off the flame.

Step 5:
Let the mixture cool slightly, then knead into a soft dough using greased hands.

Step 6:
Roll the dough into a thin sheet using a rolling pin on butter paper.

Step 7:
Cut into diamond shapes and garnish with silver vark (optional).

Step 8:
Let it cool completely and serve!",Gujrat,https://crazymasalafood.com/wp-content/images/2023/05/kaju-katli-1.jpg.webp,,,,,,
Kalakand,"Milk, cottage cheese, sugar",vegetarian,dessert,"Step 1:
In a pan, crumble 2 cups paneer (cottage cheese) or grated khoya.

Step 2:
Add 1 cup condensed milk and cook on low flame, stirring continuously.

Step 3:
Cook until the mixture thickens and starts leaving the sides of the pan (10-12 minutes).

Step 4:
Add ½ tsp cardamom powder and mix well. Turn off the flame.

Step 5:
Grease a tray with ghee and pour the mixture into the tray. Flatten evenly.

Step 6:
Garnish with chopped almonds, pistachios, and saffron strands.

Step 7:
Let it set for 1-2 hours in the refrigerator.

Step 8:
Cut into squares and serve chilled or at room temperature.",West Bengal,https://www.crazymasalafood.com/wp-content/images/kalakand-1.jpg,,,,,,
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,snack,"Step 1:
Boil 1 liter water and let it cool to lukewarm.

Step 2:
Add 2 tbsp mustard powder, 1 tsp red chili powder, 1 tsp salt, and 1/4 tsp turmeric powder to the water.

Step 3:
Peel and cut 2 carrots (preferably black or red) into thin sticks. Add them to the water.

Step 4:
Cover the jar with a muslin cloth and keep it under sunlight for 2-3 days for fermentation. Stir once daily.

Step 5:
Once sour and tangy, refrigerate and serve chilled.
",Kerala,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/ULUNTHU_KANJI__URAD_DAL_PORRIDGE.jpg,,,,,,
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,snack,"Step 1:
In a bowl, mix 1 cup whole wheat flour, 1/4 tsp turmeric powder, 1/2 tsp cumin seeds, 1/2 tsp salt, and 1 tbsp oil.

Step 2:
Add water gradually and knead into a soft dough. Rest for 15 mins.

Step 3:
Divide the dough into small balls and roll each into thin round chapatis.

Step 4:
Cook on a hot tawa on low flame, pressing with a cloth or spatula until crispy and golden brown.

Step 5:
Apply a little oil or ghee if needed.

Step 6:
Cool completely and store in an airtight container.",Gujarat,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Homemade_Methi_Khakhra_Recipe_5_1600.jpg,,,,,,
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,snack,"Step 1:
In a bowl, mix 1 cup gram flour (besan), 1 tbsp semolina (rava), 1 tsp sugar, 1/2 tsp salt, and 1/4 tsp turmeric powder.

Step 2:
Add 1 tbsp lemon juice, 1 tbsp oil, and water gradually to make a smooth batter. Rest for 10 mins.

Step 3:
Add 1 tsp Eno fruit salt or 1/2 tsp baking soda to the batter. Mix gently until fluffy.

Step 4:
Pour the batter into a greased plate and steam for 12-15 mins on medium flame.

Step 5:
For tempering, heat 1 tbsp oil, add 1 tsp mustard seeds, 1 tsp sesame seeds, 2 green chilies (slit), and few curry leaves. Pour over steamed khaman.

Step 6:
Garnish with fresh coriander and grated coconut. Serve with green chutney.
",Gujarat,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Appetizers/Preethi_Kitchen_Appliance_Khaman_Dhokla_From_Chana_dal_Recipe_Gujarati_Video-2.jpg,,,,,,
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,snack,"Step 1:
In a bowl, mix 1 cup gram flour (besan), 1 cup curd, 2 cups water, 1/2 tsp turmeric powder, 1 tsp ginger-green chili paste, and salt to taste. Whisk well without lumps.

Step 2:
Cook the mixture in a non-stick pan on low flame, stirring continuously until thick (about 10-12 mins).

Step 3:
Spread the hot mixture thinly on a greased plate or back of a steel plate. Let it cool for 5 mins.

Step 4:
Cut into strips and roll them tightly into spirals.

Step 5:
For tempering, heat 1 tbsp oil, add 1 tsp mustard seeds, few curry leaves, and 2 green chilies (slit). Pour over khandvi rolls.

Step 6:
Garnish with grated coconut and chopped coriander leaves. Serve with green chutney.",Gujarat,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Appetizers/Khandvi_A_Gujarati_Farsan.jpg,,,,,,
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,dessert,"Step 1:
Wash and soak ¼ cup basmati rice in water for 30 minutes.

Step 2:
In a pan, boil 1 liter full cream milk on medium flame, stirring occasionally.

Step 3:
Drain the soaked rice and add it to the boiling milk. Cook on low flame, stirring continuously until the rice becomes soft (20-25 minutes).

Step 4:
Add ½ cup sugar and stir until the sugar dissolves completely.

Step 5:
Add ½ tsp cardamom powder, chopped almonds, cashews, and raisins. Mix well.

Step 6:
Cook for another 5-10 minutes until the kheer thickens.

Step 7:
Turn off the flame and garnish with saffron strands and chopped pistachios.

Step 8:
Serve hot or chilled.",Odisha,https://www.crazymasalafood.com/wp-content/images/khira-sagara.jpg,,,,,,
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,main course,"Step 1: Heat 1 tbsp ghee in a pressure cooker, add 1/2 tsp cumin seeds and asafoetida. Let them splutter.
Step 2: Add grated ginger, chopped onion, and green chili. Sauté for 2 mins.
Step 3: Add chopped tomato, 1/2 tsp turmeric powder, and salt. Cook until tomatoes soften.
Step 4: Add washed rice and moong dal. Sauté for 1 min.
Step 5: Pour 3 cups water and pressure cook for 3-4 whistles on medium flame.
Step 6: Let the pressure release naturally, then mix gently.
Step 7: Garnish with fresh coriander leaves and serve hot.",Maharashtra,https://www.vegrecipesofindia.com/wp-content/uploads/2013/06/recipe-chana-dal-khichdi-500x500.jpg,,,,,,
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,main course,"Step 1: Mix mashed potatoes, grated paneer, corn flour, green chili, red chili powder, garam masala, and salt to form a dough.
Step 2: Make small balls and deep fry them until golden brown. Keep aside.
Step 3: Heat 2 tbsp oil in a pan, add cumin seeds and sauté. Add chopped onions and cook until golden.
Step 4: Add ginger-garlic paste and cook for 1 min.
Step 5: Add tomato puree, cashew paste, coriander powder, turmeric powder, red chili powder, and salt. Cook until oil separates.
Step 6: Add 1/2 cup water and simmer for 5 mins.
Step 7: Add garam masala and cream. Cook for 2 mins.
Step 8: Add koftas to the gravy and cook for 2 mins.
Step 9: Garnish with fresh coriander leaves.",Uttar Pradesh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Koofteh_tabrizi.jpg/263px-Koofteh_tabrizi.jpg,,,,,,
Makki di roti,"Makki ka atta (maize flour), warm water, salt, ghee or butter (for cooking), optional ajwain (carom seeds) or finely chopped green chili for flavor.",vegetarian,main course,"Step 1: In a bowl, mix 2 cups maize flour, salt, and 1 tsp carom seeds.
Step 2: Add warm water gradually and knead into a soft dough.
Step 3: Take a small portion of dough, roll into a ball, and flatten using your hands or a rolling pin between two plastic sheets.
Step 4: Heat a tawa, place the roti, and cook on medium flame until golden brown spots appear. Flip and cook the other side.
Step 5: Apply ghee or butter on top.",Punjab,https://static.toiimg.com/thumb/56097918.cms?width=1200&height=900,,,,,,
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,dessert,"Step 1:
In a bowl, mix 1 cup all-purpose flour (maida), ¼ cup semolina (rava), 2 tbsp sugar, and ½ tsp fennel seeds.

Step 2:
Add ½ cup milk gradually and whisk to form a smooth, thick batter. Let it rest for 30 minutes.

Step 3:
In another pan, prepare sugar syrup by boiling 1 cup sugar and ½ cup water until it reaches 1-string consistency. Add cardamom powder and saffron strands.

Step 4:
Heat oil or ghee in a pan. Pour a small ladle of batter into the hot oil and fry on medium flame until both sides turn golden brown and crispy.

Step 5:
Dip the hot malpuas in the warm sugar syrup for 1-2 minutes.

Step 6:
Garnish with chopped dry fruits and saffron strands.

Step 7:
Serve hot with rabri or as it is!",Bihar,https://www.crazymasalafood.com/wp-content/images/malpua-2.jpg,,,,,,
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,snack,"Step 1:
Soak 1 cup rice, 1/4 cup urad dal, and 1 tbsp fenugreek seeds in water for 6 hours.

Step 2:
Grind to a smooth batter, add salt, and ferment overnight for 8-10 hours.

Step 3:
For the filling, heat 2 tbsp oil, add 1 tsp mustard seeds, 1 tsp cumin seeds, and few curry leaves. Add 1 chopped onion, 2 green chilies, and 1 tsp ginger paste.

Step 4:
Add 2 boiled, mashed potatoes, 1/2 tsp turmeric powder, salt, and 2 tbsp coriander leaves. Cook for 2-3 mins.

Step 5:
Heat a tawa, pour batter, and spread into a thin circle. Drizzle little oil around the edges and cook till crispy.

Step 6:
Place the potato filling in the center, fold, and serve hot with coconut chutney and sambar.
",Karnataka,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Id_Fresh_Masala_Dosa_Recipe_With_Sambar_and_Chutney_2_1600.jpg,,,,,,
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,main course,"Step 1: In a bowl, mix 1 cup wheat flour, 1 cup gram flour, onion, green chili, cumin seeds, ajwain, red chili powder, turmeric powder, salt, and fresh coriander leaves.
Step 2: Add water gradually and knead into a soft dough. Rest for 10 mins.
Step 3: Divide the dough into small balls and roll into rotis.
Step 4: Heat a tawa and cook the roti on medium flame until golden brown spots appear on both sides.
Step 5: Apply ghee or butter on top.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2016/01/missi-roti-recipe.jpg,,,,,,
Misti doi,"Milk, jaggery",vegetarian,dessert,"Step 1:
Boil 1 liter full cream milk on medium flame until it reduces to ¾ quantity. Stir occasionally to avoid burning.

Step 2:
Add ½ cup sugar and cook until the sugar dissolves completely. You can caramelize the sugar separately for a richer flavor.

Step 3:
Let the milk cool until it becomes lukewarm.

Step 4:
Add 2 tbsp curd (yogurt) as a starter and mix gently.

Step 5:
Pour the mixture into clay pots or bowls for an authentic flavor.

Step 6:
Cover and let it set for 8-10 hours in a warm place.

Step 7:
Once set, refrigerate for 1-2 hours before serving.

Step 8:
Garnish with chopped dry fruits or saffron strands and serve chilled.",West Bengal,https://www.crazymasalafood.com/wp-content/images/misti-dahi.jpg,,,,,,
Modak,"Rice flour, coconut, jaggery ",vegetarian,dessert,"Step 1:
In a pan, heat 1 tsp ghee and add 1 cup grated coconut and ½ cup jaggery.

Step 2:
Cook on low flame until the jaggery melts and the mixture becomes thick. Add ½ tsp cardamom powder and chopped dry fruits. Let it cool.

Step 3:
In another pan, boil 1 cup water with a pinch of salt and 1 tsp ghee.

Step 4:
Add 1 cup rice flour gradually and stir until it forms a soft dough.

Step 5:
Let the dough cool slightly, then knead it until smooth.

Step 6:
Grease your hands, take small portions of dough, and shape into small cups. Fill with coconut jaggery mixture and seal the edges.

Step 7:
Steam the modaks in a steamer for 10-15 minutes until they become shiny and soft.

Step 8:
Serve hot with ghee on top.",Maharashtra,https://www.crazymasalafood.com/wp-content/images/modaks.jpg,,,,,,
Mushroom da pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,main course,"Step 1: Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter.
Step 2: Add chopped onions and sauté until golden brown.
Step 3: Add ginger-garlic paste and green chili, cook for 1 min.
Step 4: Add tomato puree, turmeric powder, red chili powder, coriander powder, and salt. Cook until oil separates.
Step 5: Add sliced mushrooms and cook for 7-8 mins until soft.
Step 6: Add cubed onions, garam masala, and kasuri methi. Cook for 2 mins.
Step 7: Garnish with fresh coriander leaves.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2015/07/mushroom-curry-recipe-500x500.jpg,,,,,,
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,main course,"Step 1: Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter.
Step 2: Add chopped onions and sauté until golden brown.
Step 3: Add ginger-garlic paste and green chili, cook for 1 min.
Step 4: Add tomato puree, turmeric powder, red chili powder, coriander powder, and salt. Cook until oil separates.
Step 5: Add sliced mushrooms and cook for 5-6 mins.
Step 6: Add boiled peas, garam masala, and kasuri methi. Cook for 3 mins.
Step 7: Garnish with fresh coriander leaves.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2014/06/mushroom-matar-recipe.jpg,,,,,,
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,main course,"Step 1: In a bowl, mix 2 cups flour, baking powder, baking soda, sugar, and salt.
Step 2: Add curd and oil, then knead the dough using water into a soft texture. Rest for 1 hour.
Step 3: Divide dough into small balls, roll into oval or round shapes.
Step 4: Heat a tawa, place the naan, and cook on medium flame until bubbles form.
Step 5: Flip and cook the other side until golden spots appear.
Step 6: Brush with butter and garnish with coriander leaves.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/naan-1-500x500.jpg,,,,,,
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,main course,"Step 1: Boil chopped spinach in water for 3-4 mins. Drain, cool, and blend into a smooth paste.
Step 2: Heat 2 tbsp oil in a pan, add cumin seeds, then sauté garlic, ginger, and green chili for 30 secs.
Step 3: Add chopped onions and sauté until golden.
Step 4: Add tomato puree, turmeric powder, red chili powder, coriander powder, and salt. Cook until oil separates.
Step 5: Add the spinach paste and cook for 3-4 mins on low flame.
Step 6: Add paneer cubes and garam masala. Simmer for 2 mins.
Step 7: Garnish with fresh cream and serve hot.",Punjab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1YSfw78RFLx5MOMA93_pGPETbWp6fsdbrBA&s,,,,,,
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,main course,"Step 1: Heat 2 tbsp butter in a pan, add cumin seeds and let them splutter.
Step 2: Add chopped onions and sauté until golden brown.
Step 3: Add ginger-garlic paste and cook for 1 min.
Step 4: Add tomato puree, turmeric powder, red chili powder, coriander powder, and salt. Cook until oil separates.
Step 5: Add paneer cubes and kasuri methi, cook for 3-4 mins on low flame.
Step 6: Add garam masala and fresh cream, cook for 2 mins.
Step 7: Garnish with fresh coriander leaves.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2020/01/paneer-butter-masala-1-500x500.jpg,,,,,,
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,main course,"Step 1: In a bowl, mix curd, ginger-garlic paste, besan, turmeric powder, red chili powder, coriander powder, garam masala, chaat masala, lemon juice, oil, and salt to make a marinade.
Step 2: Add paneer cubes, capsicum, onion, and tomato into the marinade. Mix gently and let it rest for 30 mins.
Step 3: Preheat a tawa or grill, grease with oil, and place the marinated paneer and veggies.
Step 4: Cook on medium flame, turning sides until golden brown and slightly charred.
Step 5: Sprinkle chaat masala and lemon juice before serving.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2011/10/grilled-paneer-tikka-500x500.jpg,,,,,,
Pani puri,"Black chana, mashed potato, boondi, semolina, lemon",vegetarian,snack,"Step 1:
For Puris, mix 1 cup semolina (rava), 2 tbsp all-purpose flour (maida), salt, and water. Knead into a stiff dough. Rest for 15 mins, roll thin, cut small circles, and deep fry until crispy.

Step 2:
For Spicy Pani, blend 1 cup mint leaves, 1/2 cup coriander leaves, 1 green chili, 1 tsp cumin powder, 1 tsp chaat masala, lemon juice, and salt with water. Chill for 1 hour.

Step 3:
For Filling, mix boiled potatoes (mashed), boiled chickpeas, chopped onions, salt, cumin powder, and chili powder.

Step 4:
Crack the puris from the top.

Step 5:
Fill with potato mixture, pour spicy pani, and serve immediately.
",Karnataka,https://www.chatpataaffair.com/wp-content/uploads/2023/03/Pani-puri.jpg,,,,,,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,snack,"Step 1:
In a bowl, mix 1 cup urad dal flour or moong dal flour, 1/2 tsp salt, 1/2 tsp black pepper powder, and 1/4 tsp cumin seeds.

Step 2:
Add little water gradually and knead into a stiff dough. Rest for 20 mins.

Step 3:
Divide the dough into small balls and roll each ball into thin circles using dry flour.

Step 4:
Dry the rolled papads under sunlight for 1-2 days until completely dry.

Step 5:
Store in an airtight container. Fry or roast before serving.",Punjab,https://www.archanaskitchen.com/images/archanaskitchen/BasicRecipes_HOW_TO/How_to_roast_papad.jpg,,,,,,
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,main course,"Step 1: In a bowl, mix wheat flour and salt. Add water gradually and knead into a soft dough. Rest for 15 mins.
Step 2: Divide the dough into small balls. Roll each ball into a circular or triangular shape.
Step 3: Heat a tawa, place the parantha, and cook for 1 min on medium flame. Flip and apply ghee or oil.
Step 4: Cook both sides until golden brown spots appear, pressing gently with a spatula.
Step 5: Serve hot with curd, pickle, or butter.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/gobi-paratha-recipe-1-500x500.jpg,,,,,,
Pav Bhaji,"Pav bhaji masala, cauliflower, potatoes, green peas, dinner rolls",vegetarian,main course,"Step 1: Heat 2 tbsp butter in a pan, add cumin seeds and chopped onions. Sauté until golden brown.
Step 2: Add ginger-garlic paste and sauté for 1 min.
Step 3: Add pureed tomatoes, turmeric powder, red chili powder, pav bhaji masala, and salt. Cook until oil separates.
Step 4: Add boiled potatoes, cauliflower, capsicum, and peas. Mash well and cook for 10 mins.
Step 5: Garnish with fresh coriander leaves and lemon wedges.

Step 6: Heat butter on a tawa, toast the pav buns until golden.",Maharashtra,https://healthyvegrecipes.com/wp-content/uploads/2016/08/pb1.jpg,,,,,,
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,dessert,"Step 1:
In a pan, heat 1 tsp ghee and roast 2 tbsp cashews and 1 tbsp raisins until golden. Set aside.

Step 2:
In the same pan, add ½ cup vermicelli (sewai) or rice and roast on low flame until light golden.

Step 3:
Pour 3 cups milk into the pan and let it boil on medium flame. Stir occasionally.

Step 4:
Add ½ cup sugar and cook until the sugar dissolves completely.

Step 5:
Add ½ tsp cardamom powder and a few saffron strands. Simmer for 5-10 minutes until thick and creamy.

Step 6:
Add the roasted cashews and raisins. Mix well.

Step 7:
Turn off the flame and garnish with chopped almonds and pistachios.

Step 8:
Serve hot or chilled.",Kerela,https://www.crazymasalafood.com/wp-content/images/gothampu-payasam.jpg,,,,,,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,dessert,"Step 1:
Peel and cut 500g ash gourd (white pumpkin) into small cubes.

Step 2:
Boil the pumpkin pieces in water for 5-7 minutes until slightly soft, then drain the water completely.

Step 3:
Prick the pumpkin pieces with a fork to help absorb syrup.

Step 4:
In another pan, boil 1 cup sugar and ½ cup water to make 1-string consistency sugar syrup. Add ½ tsp lemon juice to remove impurities.

Step 5:
Add the boiled pumpkin pieces to the syrup and cook on low flame until the syrup is absorbed completely (20-25 minutes).

Step 6:
Add ½ tsp cardamom powder and few drops of rose water for extra flavor.

Step 7:
Turn off the flame and let the petha cool completely.

Step 8:
Serve or store in an airtight container for up to 1 week.",Uttar Pradesh,https://crazymasalafood.com/wp-content/images/petha-1.jpg.webp,,,,,,
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,snack,"Step 1:
Wash 1 cup flattened rice (poha) in water and drain. Rest for 5 mins.

Step 2:
Heat 2 tbsp oil in a pan. Add 1 tsp mustard seeds, 1 tsp cumin seeds, and few curry leaves.

Step 3:
Add 1 chopped onion, 2 green chilies (chopped), and 1 tsp grated ginger. Sauté until onions turn soft.

Step 4:
Add 1/4 tsp turmeric powder, salt, and washed poha. Mix gently.

Step 5:
Cover and cook for 2 mins on low flame. Add lemon juice and 2 tbsp chopped coriander leaves.

Step 6:
Garnish with roasted peanuts and serve hot.",Maharashtra,https://thegaruskitchen.com/wp-content/uploads/2025/02/Jain-Poha-Recipe.jpeg,,,,,,
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,main course,"Step 1:
Marinate 300g prawns with ½ tsp turmeric powder, ½ tsp red chili powder, ½ tsp salt, and 1 tbsp lemon juice. Set aside for 15 minutes.

Step 2:
Heat 2 tbsp oil in a pan and add 1 tsp mustard seeds. Let them splutter.

Step 3:
Add 1 finely chopped onion and sauté until golden brown.

Step 4:
Add 1 tbsp ginger-garlic paste and 2 slit green chilies. Sauté for 1-2 minutes until fragrant.

Step 5:
Add 1 finely chopped tomato and cook until soft and the oil starts to separate.

Step 6:
Add ½ tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and ½ tsp cumin powder. Mix well and cook for 2 minutes.

Step 7:
Add the marinated prawns and stir well. Cook for 3-4 minutes until the prawns turn pink and are fully cooked.

Step 8:
(Optional) Add ¼ cup coconut milk for a richer flavor. Stir well and simmer for 2 minutes.

Step 9:
Add ½ tsp garam masala and ½ tsp black pepper powder. Mix well and turn off the heat.

Step 10:
Garnish with fresh coriander leaves and serve hot with rice, roti, or naan.",West Bengal,https://www.licious.in/blog/wp-content/uploads/2021/06/Shutterstock_1585483462-1024x684.jpg,,,,,,
